info_type_id,movie_id,info,title,production_year
3,2822269,Western,"VerrÃ¼ckter wilder Westen",1991
3,2420046,Western,"Serial Theater",1959
3,1940101,Western,"Overland Stage",1960
3,1072734,Western,"Marshal Dillon",1961
3,633670,Western,"Dead Man's Walk - Weg der Verdammten",1996
3,336990,Western,"Les deux font la loi",1992
3,578765,Western,"The Legend of Custer",1967
3,578765,Western,Custer,1967
3,678368,Western,"Ultimul Mohican",NULL
3,678366,Western,"Die Lederstrumpf ErzÃ¤hlungen",1969
3,2521546,Western,Rin-Tin-Tin,1956
3,2731744,Western,"Gli sbandati",1968
3,637912,Western,"Im wilden Westen",1976
3,633618,Western,"La loi du colt",2011
3,2543625,Western,"Big Valley",1991
3,2391147,Western,"The Fast Guns",1954
3,733653,Western,"La signora del West",1993
3,678366,Western,"The Pathfinder",1969
3,2527524,Western,"The West",2016
3,1456149,Western,"Am FuÃŸ der Blauen Berge",1959
3,1405687,Western,"The Rough and Ready Cowboy",1973
3,2520478,Western,"Kit Carson",1951
3,454404,Western,"Die Rache der Gejagten",1995
3,1347641,Western,"Ã«ÃÃÃ‰Ã”ÃÃŽ Ã°Ã…Ã”Ã‹Ã Ã—ÃÃŠÃ—ÃÃ„Ã",1981
3,1552332,Western,"Der Ruf des Adlers",1991
3,1552332,Western,"Der Ruf des Adlers",1989
3,2374795,Western,Carovana,1960
3,2787901,Western,"Der Texaner",1968
3,2496063,Western,"La legge del Far West",1963
3,2677267,Western,"Grizzly Adams",1977
3,102663,Western,"Ein Jahr Galgenfrist",NULL
3,141295,Western,"In der Mittagsglut",NULL
3,1953651,Western,"Guns of Paradise",1991
3,2731136,Western,"Der Weg nach Oregon",1991
3,748741,Western,"RiuscirÃ  la nostra carovana di eroi...",1973
3,2996626,Western,"The Free Fall",2002
3,1456149,Western,"Am FuÃŸ der Blauen Berge",1991
3,1122692,Western,"La bataille du rail",2011
3,468767,Western,"Cimarron Strip",1967
3,695079,Western,"The Disney Sunday Movie",1954
3,1824622,Western,"Un vero sceriffo",1971
3,1620069,Western,"Der Mann ohne Colt",1966
3,695079,Western,"The Wonderful World of Disney",1969
3,141335,Western,"La ballata di Gregorio Cortez",NULL
3,1198853,Western,"Durch die HÃ¶lle nach Westen",1978
3,2680988,Western,"Die Texas Rangers",1959
3,2813764,Western,"Il virginiano",1962
3,2083160,Western,"Sous le signe de l'Ã©pÃ©e",2000
3,2519496,Western,"Die Abenteuer des Brisco County jr.",1994
3,454404,Western,"A Good Day to Die",1995
3,2764951,Western,"The Daybreakers",1979
3,365028,Western,"Buffalo Girls",1995
3,1583382,Western,Midsummer,NULL
3,1267331,Western,"In den Westen",2006
3,2887904,Western,"Wilder Westen Arizona",1959
3,102660,Western,"Due onesti fuorilegge",1971
3,747617,Western,"Dundee und Culhane",1967
3,2756953,Western,"Westlich von Santa Fe",1991
3,2514958,Western,"Lynch Mob",NULL
3,1727652,Western,"Mountain Men... Ways of the Trail",2017
3,1126725,Western,"Arrivano le spose",1968
3,2095458,Western,Tomahawk,1957
3,2590871,Western,"Der zweite Mann",1964
3,678366,Western,"Die LederstrumpferzÃ¤hlungen",1969
3,1533363,Western,"Unsere kleine Farm",1976
3,2767842,Western,"Cliffhangers: The Secret Empire",1979
3,968174,Western,Fury,1955
3,2762509,Western,"Diese PechvÃ¶gel",1972
3,2755123,Western,"The Six Shooter",1957
3,1113138,Western,Hawkeye,1957
3,1754306,Western,Frida,1955
3,2167700,Western,"Teddy Roosevelt & the Rough Riders",1997
3,578765,Western,"Colonel Custer",1967
3,739667,Western,"Der groÃŸe Traum",1988
3,2339248,Western,"General Custers letzte Schlacht",1991
3,2624521,Western,"The Quaker Oats Show",1950
3,2731136,Western,"Der Weg nach Oregon",1979
3,1552337,Western,"Colomba solitaria",1995
3,2324879,Western,"La saga dei McGregor",1993
3,3047191,Western,"Carovane verso il west",1957
3,2590871,Western,"Der zweite Mann",1991
3,826430,Western,"Big G",1962
3,2675796,Western,"La leggenda di Jesse James",1965
3,1505297,Western,"Les Dalton",2009
3,962052,Western,"Dr. Bill Baxter, Arzt in Arizona",1967
3,2839210,Western,"The Young Riders - 7 fÃ¼r die Gerechtigkeit",1991
3,1824622,Western,"Sheriff ohne Colt und Tadel",1971
3,2680988,Western,"Il cavaliere solitario",1949
3,2764951,Western,"Die Sacketts",1991
3,1198853,Western,"How the West Was Won",1976
3,430682,Western,Colorado,1980
3,2107582,Western,Cowboys,1965
3,1552332,Western,"Weg in die Wildnis",1990
3,2250468,Western,"Sergeant Preston",1967
3,2813764,Western,"The Virginian",1962
3,47851,Western,"Der Mann ohne Namen",1991
3,2083160,Western,"Tessa, Ã  la pointe de l'Ã©pÃ©e",2000
3,2866510,Western,"Ritorno al mondo di Oz",2008
3,354722,Western,"Broken Trail - Un viaggio pericoloso",2006
3,2543625,Western,"The Big Valley",1965
3,2640810,Western,"High Chaparral",1967
3,2786956,Western,"The Tarzan/Lone Ranger/Zorro Adventure Hour",1980
3,2410001,Western,Tenderfoot,1957
3,678366,Western,"Ultimul Mohican",1969
3,354722,Western,"Broken Trail",2006
3,2386058,Western,"Steve Donovan: Western Ranger",1955
3,468767,Western,"Der Marshall von Cimarron",1978
3,2396353,Western,"Larry McMurtry's Streets of Laredo",1995
3,2822269,Western,"The Wild West",1965
3,962052,Western,Unarmed,1958
3,343379,Western,GeÃ¤chtet,1968
3,2386058,Western,"Western Marshal",1955
3,290691,Western,"Gone with the Wind",NULL
3,2324879,Western,"Banjo Paterson's The Man from Snowy River",1993
3,2107582,Western,"Gli uomini della prateria",1959
3,1507942,Western,"Mato, der Indianer",2012
3,2501923,Western,"Rebel Land",2010
3,2813764,Western,"The Men from Shiloh",1970
3,2278456,Western,"Shotgun Slade, Mercenary of the Old West",2014
3,2822269,Western,"Selvaggio west",1965
3,695079,Western,"Disney's Wonderful World",1979
3,2822269,Western,"VerrÃ¼ckter wilder Westen",1989
3,2527524,Western,"Der Wilde Westen - Die wahre Geschichte",2016
3,1824622,Western,"Sheriff ohne Colt und Tadel",1991
3,1507942,Western,"Mato der Indianer",1965
3,1198853,Western,"Alla conquista del West",1977
3,2501923,Western,"Terra ribelle 2",2012
3,1108534,Western,"Go West",1994
3,678366,Western,"La lÃ©gende de Bas de cuir",1970
3,3049913,Western,"Walker Texas Ranger",1993
3,733653,Western,"Dr. Quinn - Ã„rztin aus Leidenschaft",1993
3,695079,Western,"Walt Disney",1981
3,2586833,Western,Dakota,1963
3,695079,Western,Disney-Land,1966
3,1113138,Western,"Last of the Mohicans",1957
3,2640810,Western,"Ai confini dell'Arizona",1967
3,2745341,Western,"Racconti della frontiera",1976
3,1533363,Western,"Pioniere der PrÃ¤rie - Der lange Weg nach Westen",1974
3,1671527,Western,"Lanjski sneg",2001
3,878984,Western,"I forti di Forte Coraggio",1965
3,1405687,Western,"Isamu the Wilderness Boy",1973
3,2637831,Western,"Il grande teatro del west",1967
3,1552360,Western,"Larry McMurtry's Tales of the Plains",2001
3,2626538,Western,"Melody Ranch",1950
3,637912,Western,"Im wilden Westen",1991
