info_type_id,movie_id,info,keyword,phonetic_code,production_year,title,keyword
3,4258126,Western,raining,R52,1970,Ringo,raining
3,4258126,Western,raining,R52,1939,Ringo,raining
3,3217352,Western,handcuffed-to-a-bed,H5321,1967,"Hondo dispara mÃ¡s fuerte",handcuffed-to-a-bed
3,3710745,Western,handcuffed-to-a-bed,H5321,1967,Huntsville,handcuffed-to-a-bed
3,4033747,Western,handcuffed-to-a-bed,H5321,1965,"Hands of a Gunfighter",handcuffed-to-a-bed
3,4272881,Western,handcuffed-to-a-bed,H5321,2016,"Hands Up Dead Man",handcuffed-to-a-bed
3,3667719,Western,jane-austen,J5235,1959,"Jonny schieÃŸt nur links",jane-austen
3,3781514,Western,jane-austen,J5235,1967,"Jonny West und die verwegenen 3",jane-austen
3,3781514,Western,jane-austen,J5235,1965,"Johnny West und die verwegenen drei",jane-austen
3,3667719,Western,jane-austen,J5235,1959,"Johnny schieÃŸt nur links",jane-austen
3,4412542,Western,jane-austen,J5235,1949,"John Steinbeck's The Red Pony",jane-austen
3,3667719,Western,jane-austen,J5235,1958,"Jonny schieÃŸt nur links",jane-austen
3,4450632,Western,woods,W32,1954,"The Woodhawk",woods
3,3625465,Western,hanging,H5252,1999,"The Hangman's Daughter",hanging
3,3555650,Western,hanging,H5252,1973,"The Hanging Judge",hanging
3,3675468,Western,hanging,H5252,1952,"Hangman's Knot",hanging
3,3675244,Western,hanging,H5252,1968,"Hang 'Em High",hanging
3,3995352,Western,hanging,H5252,1956,"The Hanging Judge",hanging
3,4079263,Western,hanging,H5252,1910,"Hanging at Jefferson City",hanging
3,4363922,Western,hanging,H5252,1959,"The Hanging Tree",hanging
3,4501565,Western,hanging,H5252,1969,"Hanging for Django",hanging
3,3438571,Western,taunton-trial-court,T5353,1953,"Il tenente dinamite",taunton-trial-court
3,4301576,Western,taunton-trial-court,T5353,1924,"Tom, Tony und Tiger",taunton-trial-court
3,3705751,Western,hormone,H65,1949,"Harmony Inn",hormone
3,3363298,Western,studio-city-california,S3232,2014,"Sadistic Execution",studio-city-california
3,3557147,Western,studio-city-california,S3232,1952,"Stagecoach to Cheyenne",studio-city-california
3,4314637,Western,studio-city-california,S3232,1966,"Southwest to Sonora",studio-city-california
3,4314637,Western,studio-city-california,S3232,1967,"Southwest to Sonora",studio-city-california
3,4503742,Western,studio-city-california,S3232,1920,"Sotto giudizio",studio-city-california
3,3584696,Western,extramarital-affair,E2365,1987,"Extreme Prejudice",extramarital-affair
3,3691305,Western,extramarital-affair,E2365,1912,"The Eastern Girl",extramarital-affair
3,3983582,Western,extramarital-affair,E2365,1968,"El escuadrÃ³n de la muerte",extramarital-affair
3,3983582,Western,extramarital-affair,E2365,1968,"Escuadron mueron",extramarital-affair
3,3381711,Western,bulletproof-glass,B4316,1950,"Blood Brothers",bulletproof-glass
3,3366180,Western,bulletproof-glass,B4316,1975,"Blood Brothers",bulletproof-glass
3,3386971,Western,bulletproof-glass,B4316,1964,"Bullet for a Badman",bulletproof-glass
3,3650134,Western,bulletproof-glass,B4316,1971,"Bullet for a Stranger",bulletproof-glass
3,3650134,Western,bulletproof-glass,B4316,1971,"A Bullet for a Stranger",bulletproof-glass
3,3630538,Western,bulletproof-glass,B4316,1948,"The Ballad of Furnace Creek",bulletproof-glass
3,3737364,Western,bulletproof-glass,B4316,1969,"A Bullet for the President",bulletproof-glass
3,3667122,Western,bulletproof-glass,B4316,1956,"Blood Brothers",bulletproof-glass
3,3898890,Western,bulletproof-glass,B4316,1970,"A Bullet for Sandoval",bulletproof-glass
3,4128415,Western,bulletproof-glass,B4316,1968,"A Bullet for the General",bulletproof-glass
3,4128415,Western,bulletproof-glass,B4316,1966,"A Bullet for the General",bulletproof-glass
3,4128415,Western,bulletproof-glass,B4316,1967,"A Bullet for the General",bulletproof-glass
3,4307021,Western,bulletproof-glass,B4316,1932,"The Blood Brother",bulletproof-glass
3,4421276,Western,bulletproof-glass,B4316,1977,"The Ballad of Virgil Cane",bulletproof-glass
3,4498689,Western,bulletproof-glass,B4316,1966,"Blood for a Silver Dollar",bulletproof-glass
3,4294176,Western,talent-judge,T4532,1944,"Tall in the Saddle",talent-judge
3,3844881,Western,prize,P62,1966,"La presa",prize
3,3320924,Western,trying-to-escape,T6523,1941,"I tre moschettieri del Missouri",trying-to-escape
3,3994494,Western,trying-to-escape,T6523,1972,"Three Musketeers in Boots",trying-to-escape
3,4204225,Western,trying-to-escape,T6523,1963,"Terror in Mesa City",trying-to-escape
3,4488960,Western,trying-to-escape,T6523,1973,"Three Musketeers of the West",trying-to-escape
3,4487368,Western,trying-to-escape,T6523,1953,"Three Were Renegades",trying-to-escape
3,4488960,Western,trying-to-escape,T6523,1973,"The Three Musketeers of the West",trying-to-escape
3,3458667,Western,south-korean-woman,S3265,1964,"Shots Ring Out!",south-korean-woman
3,4250622,Western,south-korean-woman,S3265,1968,"Shoot, Gringo... Shoot!",south-korean-woman
3,4564426,Western,south-korean-woman,S3265,2007,"Stagecoach Run",south-korean-woman
3,3360352,Western,under-arrest,U5362,1948,"Under Arrest",under-arrest
3,3971319,Western,under-arrest,U5362,1980,"Undercover USA",under-arrest
3,4504485,Western,under-arrest,U5362,1934,"Under Cover",under-arrest
3,4504485,Western,under-arrest,U5362,1936,"Under Cover",under-arrest
3,4410781,Western,under-arrest,U5362,1958,"Unter zwei Flaggen",under-arrest
3,4509634,Western,under-arrest,U5362,1964,"Unter Geiern",under-arrest
3,4439309,Western,under-arrest,U5362,1926,"Der Untergang der roten Rasse",under-arrest
3,4503495,Western,under-arrest,U5362,1948,"Under California Skies",under-arrest
3,4503474,Western,under-arrest,U5362,1914,"Under Arizona's Skies",under-arrest
3,4502509,Western,under-arrest,U5362,1967,"Der Untergang der Mohikaner",under-arrest
3,4554652,Western,under-arrest,U5362,1940,"Der Untergang der Daltons",under-arrest
3,4549660,Western,under-arrest,U5362,1923,"Under Western Skies",under-arrest
3,4549619,Western,under-arrest,U5362,1948,"Under Arizona Skies",under-arrest
3,3228411,Western,princess-costume,P6523,2009,"La promessa di un pistolero",princess-costume
3,4172564,Western,princess-costume,P6523,1974,"Porno West",princess-costume
3,4097053,Western,princess-costume,P6523,1972,"Per una manciata di soldi...",princess-costume
3,4254633,Western,princess-costume,P6523,1939,"Prairie Nights",princess-costume
3,4047902,Western,bacon,B25,1961,"Der Besessene",bacon
3,4047902,Western,bacon,B25,1961,"Der Besessene",bacon
3,4332747,Western,mother-daughter-reunion,M3632,2000,"Le maÃ®tre de Kingdom Come",mother-daughter-reunion
3,3461545,Western,wedding-anniversary,W3525,1982,"The White Man Came",wedding-anniversary
3,4101853,Western,wedding-anniversary,W3525,1968,"With My Guns",wedding-anniversary
3,4557891,Western,wedding-anniversary,W3525,1910,"White Man's Money, the Red Man's Curse",wedding-anniversary
3,3438699,Western,watching-someone-die,W3252,1968,"White Comanche",watching-someone-die
3,3830075,Western,watching-someone-die,W3252,1968,"With Django Comes Death",watching-someone-die
3,4090907,Western,watching-someone-die,W3252,1991,"Der weite Weg nach Westen",watching-someone-die
3,4090907,Western,watching-someone-die,W3252,1973,"Der weite Weg nach Westen",watching-someone-die
3,4558636,Western,watching-someone-die,W3252,1971,"Whity ging nach Osten",watching-someone-die
3,3829182,Western,new-york-yankees,N6252,1969,"Il Nero - HaÃŸ war sein Gebet",new-york-yankees
3,3829182,Western,new-york-yankees,N6252,2012,"Il Nero - HaÃŸ war sein Gebet",new-york-yankees
3,4360168,Western,spanish-crisis,S1526,1913,"A Saving Service Rewarded",spanish-crisis
3,4350573,Western,united-nations,U5353,1955,"Untamed West",united-nations
3,4387918,Western,united-nations,U5353,1988,"The Untamed",united-nations
3,4509530,Western,united-nations,U5353,1952,"Untamed Frontier",united-nations
3,4509530,Western,united-nations,U5353,1952,"The Untamed",united-nations
3,3278130,Western,anatomy-chart,A5352,1973,"Anything for a Friend",anatomy-chart
3,3545547,Western,anatomy-chart,A5352,1968,"And Now... Make Your Peace with God",anatomy-chart
3,3098714,Western,reporter,R1636,1962,"The Rope Riders",reporter
3,4361602,Western,reporter,R1636,1927,"RÃ¤uber der KÃ¶nigsschlucht",reporter
3,4444627,Western,herb,H61,1928,"Hey, Rube!",herb
3,451532,Western,china,C5,1955,Cheyenne,china
3,3230341,Western,china,C5,1943,Cheyenne,china
3,3418266,Western,china,C5,1965,Cheyenne,china
3,3418260,Western,china,C5,1947,Cheyenne,china
3,3710793,Western,china,C5,2015,Cham,china
3,4300331,Western,china,C5,1972,"Con Men",china
3,4517059,Western,china,C5,1973,Chino,china
